neighbourhood_cleansed,listing_count,median_price,mean_price,median_revenue,mean_revenue,median_occupancy,avg_rating,pct_superhost,pct_instant_bookable,city
Brederode,104,125.5,148.33653846153845,4458.0,6325.307692307692,18.0,4.69,0.26,0.298,Antwerp
Zurenborg,29,84.0,95.24137931034484,4410.0,5886.827586206897,36.0,4.81,0.379,0.276,Antwerp
Deurne Noord,19,87.0,89.26315789473684,4080.0,5507.473684210527,18.0,4.24,0.158,0.105,Amsterdam
ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,1003,59.0,77.14556331006979,4068.0,5380.2662013958125,42.0,4.7,0.418,0.651,Athens
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,86,56.0,89.79069767441861,3966.0,5620.093023255814,38.0,4.66,0.5,0.605,Athens
Groenenhoek,27,100.0,115.07407407407408,3906.0,4098.333333333333,18.0,4.83,0.37,0.222,Antwerp
ΠΕΤΡΑΛΩΝΑ,458,75.0,90.43668122270742,3744.0,6048.600436681223,42.0,4.83,0.502,0.727,Athens
Mariaburg,6,111.5,109.83333333333331,3726.0,5131.0,24.0,4.89,0.167,0.0,Antwerp
Nieuw - Kwartier West,18,118.0,131.61111111111111,3620.0,4090.222222222222,17.0,4.85,0.278,0.0,Amsterdam
ΝΕΟΣ ΚΟΣΜΟΣ,1174,72.0,94.9335604770017,3615.0,6684.603066439523,42.0,4.81,0.486,0.694,Athens
ΚΕΡΑΜΕΙΚΟΣ,432,87.5,236.1689814814815,3510.0,13506.326388888889,36.0,4.76,0.507,0.688,Athens
ΠΟΛΥΓΩΝΟ,29,72.0,83.20689655172414,3456.0,2749.379310344827,18.0,4.87,0.276,0.621,Athens
Nieuw - Kwartier Oost,14,111.5,117.92857142857144,3282.0,5931.642857142857,21.0,4.87,0.357,0.071,Amsterdam
Markgrave,16,77.5,80.25,3003.0,5587.8125,42.0,4.63,0.375,0.062,Antwerp
ΡΗΓΙΛΛΗΣ,6,106.0,228.83333333333337,2915.0,7392.666666666667,17.0,4.36,0.333,1.0,Athens
Hoboken - Centrum,14,74.0,81.92857142857143,2901.0,2925.285714285714,33.0,4.87,0.286,0.214,Amsterdam
ΓΟΥΒΑ,107,77.0,91.5607476635514,2880.0,4103.411214953271,30.0,4.71,0.542,0.561,Athens
ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,3253,115.0,154.2883492161082,2832.0,8924.541961266523,18.0,4.78,0.402,0.768,Athens
ΠΑΓΚΡΑΤΙ,630,70.5,91.1920634920635,2796.0,4947.019047619047,30.0,4.8,0.468,0.67,Athens
ΛΥΚΑΒΗΤΤΟΣ,203,88.0,108.4975369458128,2628.0,4230.669950738917,12.0,4.79,0.414,0.67,Athens
ΚΟΛΩΝΑΚΙ,526,114.0,147.96007604562735,2529.0,6332.028517110266,18.0,4.77,0.405,0.692,Athens
Centraal Station,129,117.0,5921.46511627907,2502.0,47499.16279069767,14.0,4.57,0.047,0.543,Antwerp
Nong Khaem,8,303.0,589.5,2310.0,2310.0,0.0,4.89,0.0,0.125,Bangkok
Bang Khun thain,16,626.5,1558.75,2310.0,22738.5,0.0,4.8,0.0,0.25,Bangkok
Hoogte,21,117.0,130.71428571428572,2272.0,4839.9047619047615,18.0,4.84,0.238,0.381,Antwerp
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,1110,75.0,107.27477477477476,2262.0,4675.338738738738,24.0,4.78,0.489,0.654,Athens
ΝΕΑ ΚΥΨΕΛΗ,62,52.0,71.61290322580645,2168.0,2945.1451612903224,27.0,4.76,0.387,0.484,Athens
ΙΛΙΣΙΑ,227,83.0,105.15418502202644,2016.0,4181.762114537445,24.0,4.83,0.507,0.67,Athens
ΕΛΛΗΝΟΡΩΣΩΝ,76,63.0,315.1842105263158,1980.0,5346.973684210527,18.0,4.78,0.316,0.487,Athens
Tentoonstellingswijk,10,94.5,109.1,1965.0,3534.8,14.0,4.73,0.2,0.0,Antwerp
Middelheim,6,121.5,132.5,1956.0,3961.0,27.0,4.77,0.333,0.333,Antwerp
ΑΜΠΕΛΟΚΗΠΟΙ,477,64.0,105.69392033542977,1944.0,3647.968553459119,24.0,4.79,0.39,0.616,Athens
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,590,57.0,81.38813559322034,1938.0,3831.803389830509,24.0,4.69,0.295,0.583,Athens
ΚΟΛΩΝΟΣ,139,57.0,71.26618705035972,1872.0,4566.942446043166,24.0,4.8,0.381,0.626,Antwerp
ΠΕΔΙΟ ΑΡΕΩΣ,113,78.0,89.86725663716814,1824.0,3523.761061946903,12.0,4.68,0.451,0.584,Athens
ΠΕΝΤΑΓΩΝΟ,2,41.5,41.5,1620.0,1620.0,36.0,4.8,0.0,0.0,Athens
Wilrijk Centrum,16,81.5,99.6875,1614.0,3515.3125,18.0,4.6,0.375,0.188,Amsterdam
ΑΝΩ ΚΥΨΕΛΗ,138,45.5,114.57246376811594,1608.0,2919.4057971014495,24.0,4.7,0.348,0.558,Athens
ΣΕΠΟΛΙΑ,65,56.0,91.03076923076924,1596.0,2519.769230769231,18.0,4.79,0.446,0.692,Athens
ΒΟΤΑΝΙΚΟΣ,125,73.0,121.384,1476.0,4202.984,18.0,4.82,0.488,0.68,Athens
ΚΥΨΕΛΗ,304,55.0,128.51644736842104,1404.0,2826.5098684210525,18.0,4.78,0.408,0.533,Athens
ΓΟΥΔΙ,270,71.0,80.64074074074074,1374.0,3162.4296296296297,18.0,4.77,0.4,0.611,Athens
ΠΡΟΜΠΟΝΑ,8,46.5,48.125,1359.0,1742.25,30.0,4.83,0.5,0.5,Athens
ΚΟΛΟΚΥΝΘΟΥ,14,44.5,48.42857142857143,1311.0,2742.4285714285716,33.0,4.87,0.357,0.643,Antwerp
ΝΙΡΒΑΝΑ,165,47.0,58.236363636363635,1296.0,3686.642424242424,18.0,4.71,0.321,0.57,Athens
